#,Nombre,Funcionalidad,Flujo de la transacción,Tablas Involucradas,Descripción,Hecho,Falta,ADI
1,CRUD usuarios,"Inserción, Actualización y desactivación de la tabla ""usuarios""","El usuario ingresa datos desde el formulario ubicado en el front-end, incluye un trigger.",tab_usuarios,"Gestión completa de usuarios del sistema con operaciones de creación, actualización y desactivación lógica",x,,
2,CRUD productos,"Inserción, Actualización y desactivación de la tabla ""productos""","El usuario ingresa datos del producto desde el formulario ubicado en el front-end, incluye validaciones de categoría y marca.",tab_productos,"Gestión completa de productos del catálogo con operaciones de creación, actualización y desactivación lógica",x,,
3,CRUD categorías,"Inserción, Actualización y desactivación de la tabla ""categorias""","El usuario ingresa datos de categoría desde el formulario ubicado en el front-end, incluye validaciones de jerarquía.",tab_categorias,"Gestión completa de categorías de productos con operaciones de creación, actualización y desactivación lógica",x,,
4,CRUD marcas,"Inserción, Actualización y desactivación de la tabla ""marcas""","El usuario ingresa datos de marca desde el formulario ubicado en el front-end, incluye validaciones de unicidad.",tab_marcas,"Gestión completa de marcas de productos con operaciones de creación, actualización y desactivación lógica",x,,
5,CRUD líneas,"Inserción, Actualización y desactivación de la tabla ""lineas""","El usuario ingresa datos de línea desde el formulario ubicado en el front-end, incluye validaciones de categoría.",tab_lineas,"Gestión completa de líneas de productos con operaciones de creación, actualización y desactivación lógica",x,,
6,CRUD sublíneas,"Inserción, Actualización y desactivación de la tabla ""sublineas""","El usuario ingresa datos de sublínea desde el formulario ubicado en el front-end, incluye validaciones de línea padre.",tab_sublineas,"Gestión completa de sublíneas de productos con operaciones de creación, actualización y desactivación lógica",x,,
7,CRUD proveedores,"Inserción, Actualización y desactivación de la tabla ""proveedores""","El usuario ingresa datos del proveedor desde el formulario ubicado en el front-end, incluye validaciones de contacto.",tab_proveedores,"Gestión completa de proveedores con operaciones de creación, actualización y desactivación lógica",x,,
8,CRUD roles,"Inserción, Actualización y eliminación de la tabla ""roles""","El usuario ingresa datos del rol desde el formulario ubicado en el front-end, incluye validaciones de permisos.",tab_roles,"Gestión completa de roles del sistema con operaciones de creación, actualización y eliminación",x,,
9,CRUD menú,"Inserción, Actualización y eliminación de la tabla ""menu""","El usuario ingresa datos del menú desde el formulario ubicado en el front-end, incluye validaciones de jerarquía.",tab_menu,"Gestión completa de elementos del menú con operaciones de creación, actualización y eliminación",x,,
10,CRUD roles-menú,"Inserción, Actualización y eliminación de la tabla ""roles_menu""","El usuario asigna permisos de menú a roles desde el formulario ubicado en el front-end, incluye validaciones de existencia.",tab_roles_menu,"Gestión completa de permisos de menú por rol con operaciones de creación, actualización y eliminación",x,,
11,CRUD favoritos,"Inserción, Selección y eliminación de la tabla ""favoritos""","El usuario gestiona productos favoritos desde el front-end, incluye validaciones de usuario y producto.",tab_favoritos,"Gestión completa de productos favoritos por usuario con operaciones de creación, consulta y eliminación",x,,
12,CRUD descuentos,"Inserción, Actualización, Listado y Activación/Desactivación de la tabla ""descuentos""","El usuario gestiona descuentos desde el formulario ubicado en el front-end, incluye validaciones de fechas y tipos.",tab_descuentos,"Gestión completa de descuentos del sistema con operaciones CRUD completas y validaciones de aplicabilidad",x,,
13,CRUD CMS content,"Inserción, Actualización, Obtención y eliminación de la tabla ""cms_content""","El usuario gestiona contenido CMS desde el formulario ubicado en el front-end, incluye validaciones de tipo y estado.",tab_cms_content,"Gestión completa de contenido del CMS con operaciones de creación, actualización, consulta y eliminación",x,,
14,CRUD movimientos inventario,"Inserción, Actualización y eliminación de la tabla ""movimientos_inventario""","El usuario registra movimientos de inventario desde el formulario ubicado en el front-end, incluye validaciones de stock.",tab_movimientos_inventario,"Gestión completa de movimientos de inventario con operaciones de creación, actualización y eliminación",x,,
15,CRUD órdenes compra proveedor,"Inserción, Actualización y eliminación de la tabla ""ordenes_compra_proveedor""","El usuario gestiona órdenes de compra desde el formulario ubicado en el front-end, incluye validaciones de proveedor.",tab_ordenes_compra_proveedor,"Gestión completa de órdenes de compra a proveedores con operaciones de creación, actualización y eliminación",x,,
16,CRUD detalle orden compra proveedor,"Inserción, Actualización y eliminación de la tabla ""detalle_orden_compra_proveedor""","El usuario gestiona detalles de órdenes desde el formulario ubicado en el front-end, incluye validaciones de producto y cantidad.",tab_detalle_orden_compra_proveedor,"Gestión completa de detalles de órdenes de compra con operaciones de creación, actualización y eliminación",x,,
17,Gestión carritos,"Agregar productos, Obtener carrito, Calcular total y Migrar carrito","El usuario gestiona su carrito de compras desde el front-end, incluye cálculos automáticos de totales y migración de carritos anónimos.",tab_carritos,"Gestión completa del carrito de compras con funciones de agregado, consulta, cálculo y migración",x,,
18,Gestión órdenes,"Obtener órdenes y Crear orden desde carrito","El usuario consulta sus órdenes y crea nuevas desde el carrito, incluye validaciones de stock y cálculos de puntos.",tab_ordenes,"Gestión de órdenes de compra con consulta de historial y creación desde carrito con validaciones completas",x,,
19,Gestión puntos usuario,"Acumular puntos, Calcular puntos y Obtener resumen","El sistema gestiona automáticamente los puntos del usuario por compras, incluye cálculos basados en configuración empresarial.",tab_puntos_usuario,"Gestión automática del sistema de puntos con acumulación por compras y consulta de resúmenes",x,,
20,Gestión configuración puntos,"Actualizar configuración y Obtener configuración activa","El administrador gestiona la configuración del sistema de puntos desde el panel admin, incluye validaciones de rangos.",tab_config_puntos_empresa,"Gestión de la configuración empresarial del sistema de puntos con actualización y consulta de parámetros activos",x,,
21,Gestión movimientos puntos,"Obtener descripción tipo y Obtener historial","El usuario consulta el historial de movimientos de sus puntos desde el front-end, incluye descripciones detalladas de cada transacción.",tab_movimientos_puntos,"Consulta del historial de movimientos de puntos con descripciones detalladas de cada tipo de transacción",x,,
22,Gestión canjes puntos descuentos,"Aplicar canje en orden y Canjear puntos por descuento","El usuario canjea puntos por descuentos desde el front-end, incluye validaciones de puntos disponibles y aplicabilidad.",tab_canjes_puntos_descuentos,"Gestión del sistema de canje de puntos por descuentos con validaciones de disponibilidad y aplicación en órdenes",x,,
23,Gestión productos carrito,"Agregar, Actualizar y Migrar productos del carrito","El usuario gestiona productos específicos de su carrito desde el front-end, incluye validaciones de stock y migración entre carritos.",tab_carrito_productos,"Gestión específica de productos dentro del carrito con operaciones de agregado, actualización de cantidades y migración de carritos anónimos",,"x",
24,Gestión descuentos usuarios,"Registrar uso y Validar aplicabilidad de descuentos por usuario","El sistema registra automáticamente el uso de descuentos por usuario y valida aplicabilidad, incluye validaciones de límites y restricciones.",tab_descuentos_usuarios,"Gestión de la relación descuentos-usuarios con registro de uso, validaciones de límites por usuario y verificación de aplicabilidad",,"x",
25,Gestión productos orden,"Inserción, Consulta y Actualización de productos en órdenes","El sistema gestiona automáticamente los productos de las órdenes durante la compra, incluye transferencia desde carrito y actualización de stock.",tab_orden_productos,"Gestión específica de productos dentro de órdenes con operaciones de transferencia desde carrito, consulta de detalles y actualización de cantidades",,"x",
26,Reportes ventas producto,"Consulta y Análisis de resumen de ventas por producto","El administrador consulta reportes de ventas por producto desde el panel admin, incluye análisis de tendencias y estadísticas de ventas.",tab_resumen_ventas_producto,"Generación de reportes y análisis de ventas por producto con estadísticas de tendencias, productos más vendidos y resúmenes de performance",,"x", 